"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Authentication","Login and Logout","Valid Login","0","0","1","0","0"
"Checkout Flow","Order Placement","Successful Order Completion","0","0","0","1","0"
"Checkout Flow","Order Placement","Validation of Mandatory Fields","0","0","1","0","0"
"User Authentication","Login and Logout","Logout Confirmation Flow","0","0","1","0","0"
"Product Details","Detailed Product View and Cart","Submit a Review","0","0","1","0","0"
"User Authentication","Login and Logout","Invalid Login Attempts","0","0","6","0","0"
"Product Details","Detailed Product View and Cart","Select Colour and Quantity, Add to Cart","0","0","1","0","0"
"Products","Product Listing and Navigation","Check Product Count","0","0","1","0","0"
"Products","Product Listing and Navigation","Open Product and Verify Details","0","0","1","0","0"
"Product Details","Detailed Product View and Cart","View Product Details","0","0","1","0","0"
"Products","Product Listing and Navigation","Navigation to Products Page","0","0","1","0","0"
"Checkout Flow","Order Placement","Verify Checkout Page Accessibility","0","0","1","0","0"
